评论ID,评论内容,评分,商品名称
R051,一开始觉得感觉不太行，用了一周后发现外观高级,4,手机壳
R052,还行哈哈哈,4,充电宝
R053,这款背包真的超出预期！面料很舒服，降噪效果明显。已经推荐给闺蜜了，会回购！,5,背包
R054,很差劲，味道很好闻，镜片清晰。已经申请退货了。,2,鼠标
R055,呜呜呜这个连衣裙太好用了吧,4,连衣裙
R056,挺好的，闺蜜喜欢,5,面膜
R057,安利给大家，刷毛很软,5,洗发露
R058,快递三天才到，包装礼盒装很高档。T恤本身亮度可调，降噪效果明显。满意！,5,T恤
R059,充电宝和图片描述比图片好看，功能齐全。物流隔天到，快递员没通知。,5,充电宝
R060,颜色很正，不知道在说什么了哈哈,5,运动鞋
R061,挺好的，男朋友喜欢,5,电动牙刷
R062,不错，分区合理,5,手机壳
R063,就...还行？功能齐全，不知道说什么好,3,牛仔裤
R064,爱了爱了❤️ 分区合理笑死,5,口红
R065,一开始觉得感觉不太行，用了一年后发现性价比很高,4,保温杯
R066,这款瑜伽垫真的超出预期！不易脱妆，降噪效果明显。已经推荐给闺蜜了，会回购！,5,瑜伽垫
R067,买了两个，第一个清洁效果好，第二个屏幕清晰。品控还行。,3,保温杯
R068,凑合用，有点线头，不过回弹快,3,电动牙刷
R069,"无功无过,设计人性化,同价位有更好的选择",5,牛仔裤
R070,还行吧，清洁效果好，反正对得起这个价格,4,牛仔裤
R071,闺蜜生日送的，闺蜜不是hin喜欢。包装严实，适合送礼。...,5,运动鞋
R072,就...还行？没有色差，不知道说什么好,1,洗发露
R073,不好用,5,T恤
R074,无语，防滑效果好,5,墨镜
R075,就...还行？设计人性化，不知道说什么好,4,键盘
R076,第二次买了，音质清晰。上次买的用了一周还很好，这次囤货。,5,抱枕
R077,背包确实防滑效果好，不过客服回复慢有点烦人,5,背包
R078,不错，防水效果好,5,口红
R079,无功无过，外观高级，同价位有更好的选择,4,零食大礼包
R080,蓝牙耳机和图片描述有点色差，外观高级。物流隔天到，快递员态度好。,1,蓝牙耳机
R081,抱枕的颜值真的绝了，清洁效果好。虽然尺码偏小，但不影响使用。,4,抱枕
R082,快递正常速度，包装礼盒装很高档。台灯本身亮度可调，背带舒适。满意！,5,台灯
R083,失望，手感很好，充电线有点短就算了，假货真的忍不了。,5,背包
R084,完美,3,充电宝
R085,买了三个，第一个操作方便，第二个镜片清晰。品控不太稳定。,5,连衣裙
R086,"收到了,充电速度快.哦对还有细节处理到位.就这样.",5,墨镜
R087,买给爸爸的，爸爸说说不错。味道很好闻，这个价格很值。,4,洗发露
R088,抱枕的功能真的绝了，材质厚实。虽然颜色偏深，但不影响使用。,5,抱枕
R089,呜呜呜这个蓝牙耳机太好用了吧,5,蓝牙耳机
R090,气死我了亮度可调,5,鼠标
R091,失望，充电速度快，有点线头就算了，用了两天就坏了真的忍不了。,4,抱枕
R092,挺好的，自己喜欢,5,台灯
R093,呜呜呜这个洗发露太好用了吧,5,洗发露
R094,呜呜呜这个零食大礼包太好用了吧,4,零食大礼包
R095,踩雷了！充电速度快，跟描述完全不符。浪费钱,1,手机壳
R096,就...还行？操作方便，不知道说什么好,3,保温杯
R097,可以可以，面料很舒服,4,洗发露
R098,还行吧，佩戴舒适，反正对得起这个价格,3,保温杯
R099,一般般，操作方便，没有想象中那么好,3,充电宝
R100,女朋友生日送的，女朋友说颜色太艳。包装严实，适合送礼。,5,T恤
